"NAME","Compañía telefónica","Tecnología","null","Memoria Interna","A prueba de agua","Clasificación Procesador","Cámara frontal","Cámara trasera","Procesador","Tipo de monitor","Resistencia máxima sumergible","Pantalla Touch","Cámaras Integradas","Internet / Multimedia","Garantía del fabricante - Partes","Garantía del fabricante - Mano de Obra","Modelo","Color de Producto","Gama de color","Nombre del Producto","Marca","EAN/UPC","Wireless Charging","Tipo de pantalla","Interfaz","Carga inalámbrica","Modelo de celular","Tarjeta de expansión","Phone Memory (RAM)","Ranura de la tarjeta multimedia","Alto Producto","Ancho Producto","Profundidad Producto","Peso Producto","A prueba de golpes","Salida de auriculares","Tipo de Batería","Usage Time(s)","Sincronización"
"Samsung - Galaxy A21s - Negro (AT&T)","AT&T","4G LTE","Sí","64 GB","No","Samsung","13 megapixels","48 megapixels","S5E3830 (Exynos 850), Octa-core","Acelerómetro, Sensor Geomagnético, Sensor de Proximidad","","No","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","SM-A217M","","Negro","Samsung - Galaxy A21s - Negro (AT&T)","Samsung","7501882630703","","TFT-LCD","","","Samsung Galaxy A21","","4 GB","","16.3 cm","7.5 cm","0.89 cm","0.192 kg","No","","iones de Litio","23","SmartThings"
"Huawei - Celular P40 Pro - Azul - Telcel","TELCEL","4G","Sí","256 GB","Sí","","","","HUAWEI Kirin 990 5G","Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de huellas dactilares","4.9 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","ELS-N04 P40 PRO AZUL","","Azul","Huawei - Celular P40 Pro - Azul - Telcel","Huawei","7506227337125","","OLED","","","","","8 GB","","15.8 cm","7.2 cm","0.89 cm","0.209 kg","","","iones de Litio","","SmartThings"
"Samsung - Galaxy A11 - Negro (AT&T)","","2G, 3G, LTE","Sí","64 GB","No","","8 megapixels","13 megapixels","SDM450, Octa-core (8 núcleos a 1.8 GHz)","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","","Negro","Negro","Samsung - Galaxy A11 - Negro (AT&T)","Samsung","7501882629271","","AMOLED","USB Type C","","","","3 GB","","","","","0.110 kg","No","","iones de Litio","","SmartThings"
"ZTE - Blade A6 - Negro - AT&T","AT&T","4G","No","16 GB","No","","","","","Acelerómetro, Sensor de Luz Ambiental","","Sí","","Bluetooth, Wifi","1 Año","1 Año","BLADE A6","Negro","Negro","ZTE - Blade A6 - Negro - AT&T","ZTE","7501882617377","","Otro","USB","","","Nano SIM","","microSD","1.48 cm","0.72 cm","0.85 cm","0.16 kg","No","Sí","iones de Litio","",""
"Samsung - Galaxy A20 - Azul (Desbloqueado)","Desbloqueado","4G LTE","No","32 GB","No","Samsung","8 megapixels","13 megapixels","","Acelerómetro, Sensor Geomagnético, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Galaxy A20","Azul","Azul","Samsung - Galaxy A20 - Azul (Desbloqueado)","Samsung","7502285312470","","Super AMOLED","","","","Nano SIM","3 GB","microSD","","","","","","","iones de Litio","",""
"Huawei - Y8S - Negro (Telcel)","TELCEL","4G","Sí","64 GB","No","","","","HiSilicon, Kirin 710, Octa core: 4 x 2.2GHz + 4 x 1.7GHz","Acelerómetro, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","HUAWEI JKM-LX3 Y8S NEGRO","Negro","Negro","Huawei - Y8S - Negro (Telcel)","Huawei","7506227337156","","LTPS-LCD","","","","","4 GB","","16.2 cm","7.7 cm","8.1 cm","0.180 kg","No","","iones de Litio","","SmartThings"
"Motorola - Moto One Vision - Moka (AT&T)","AT&T","4G LTE","Sí","128 GB","No","","25 megapixels","48 megapixels","Exynos 9609","Acelerómetro, Barómetro, Sensor de Luz Ambiental, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT1970-2","Moka","Multi","Motorola - Moto One Vision - Moka (AT&T)","Motorola","7501882622838","","IPS-LCD","USB 2.0","","","","4 GB","microSD","","","","","","","iones de Litio","",""
"Motorola - Moto G8 Play - Gris (Telcel)","TELCEL","4G LTE","Sí","32 GB","No","MediaTek","13 megapixels","8 megapixels","Helio P70","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT2015-2","Gris","Gris","Motorola - Moto G8 Play - Gris (Telcel)","Motorola","7506227334926","","","USB Type C","","","","2 GB","","","","","","","","iones de Litio","",""
"Samsung - Galaxy A30s Blanco (Telcel)","TELCEL","4G LTE","Sí","32 GB","No","","16 megapixels","5 megapixels","Exynos 7904","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy A30s","Blanco","Blanco","Samsung - Galaxy A30s Blanco (Telcel)","Samsung","7506227335145","","Super AMOLED","USB Type C","","","Nano SIM","4 GB","","","","","","","","","",""
"Motorola - Moto One Zoom - Morado (AT&T)","AT&T","4G LTE","Sí","128 GB","No","Qualcomm Snapdragon","25 megapixels","48 megapixels","675","","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","XT2010-1","Morado","Morado","Motorola - Moto One Zoom - Morado (AT&T)","Motorola","7501882623736","","OLED","USB","","Motorola One","","4 GB","","","","","","","","iones de Litio","",""
"Samsung - Celular Note 20 Mystic 4G - Gris - Telcel","TELCEL","4G, GSM","Sí","256 GB","Sí","Samsung","","","Exynos 990","Acelerómetro, Barómetro, RGB light sensor, Sensor Giroscópico, Sensor de Proximidad","4.9 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi, Wireless A, Wireless AC, Wireless AX, Wireless B, Wireless G, Wireless N Dual Band","1 año","1 año","SM-N980","","Gris","Samsung - Celular Note 20 Mystic 4G - Gris - Telcel","Samsung","7506227338627","","","USB Type C","Qi","Samsung Galaxy Note20 5G","","8 GB","","","","","","","","iones de Litio","Todo el día","Bixby, SmartThings"
"Motorola - Moto G9 Plus - Azul - Telcel","TELCEL","4G","Sí","128 GB","No","Qualcomm","","","Qualcomm Snapdragon 730G","Acelerómetro, Sensor Giroscópico, Sensor de Proximidad","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","XT2087-1","","Azul","Motorola - Moto G9 Plus - Azul - Telcel","Motorola","7506227337828","","LTPS-LCD","","","","","4 GB","","","","","0.223 kg","","","iones de Litio","48","Google Assistant"
"Xiaomi - Redmi Note 8 - 32 GB - Azul (Telcel)","TELCEL","4G LTE","Sí","32 GB","No","","13 megapixels","48 megapixels","Qualcomm Snapdragon 665 Octa-core 2.0 GHz","Acelerómetro, Brújula, Sensor Giroscópico","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","REDMI NOTE 8","Azul","Azul","Xiaomi - Redmi Note 8 - 32 GB - Azul (Telcel)","Xiaomi","7506227335985","","","USB","","","","3 GB","","","","","","No","","iones de Litio","","SmartThings"
"Samsung - Galaxy A21s - Blanco (AT&T)","AT&T","4G LTE","Sí","64 GB","No","Samsung","13 megapixels","48 megapixels","S5E3830 (Exynos 850), Octa-core","Acelerómetro, Sensor Geomagnético, Sensor de Proximidad","","No","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","SM-A217M","","Blanco","Samsung - Galaxy A21s - Blanco (AT&T)","Samsung","7501882630680","","TFT-LCD","","","Samsung Galaxy A21","","4 GB","","16.3 cm","7.5 cm","0.89 cm","0.192 kg","No","","iones de Litio","23","SmartThings"
"Samsung - Galaxy Note 9 - 128 GB - Azul - AT&T","AT&T","4G LTE","Sí","128 GB","Sí","Samsung","8 megapixels","12 megapixels","Exynos 9810","Acelerómetro, Barómetro, Hall effect sensor, Magnetómetro, Sensor Geomagnético, Sensor de Luz Ambiental, Sensor de huellas dactilares, Sensor de ritmo cardíaco","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","SM-N9600ZBL","Azul","Azul","Samsung - Galaxy Note 9 - 128 GB - Azul - AT&T","Samsung","7501882620032","","Super AMOLED","USB Type C","","Samsung Galaxy Note9","","6 GB","microSD","","","","","No","Sí","iones de Litio","",""
"Apple - iPhone XS Max 64 GB - Oro (Telcel)","TELCEL","4G LTE","Sí","64 GB","Sí","Apple","7 megapixels","12 megapixels","A12 Chip bionico con motor neuronal de próxima generación","Acelerómetro, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Apple iPhone XS Max","Oro","Oro Rosa","Apple - iPhone XS Max 64 GB - Oro (Telcel)","Apple","7506227332021","","Super Retina HD display","Lightning","","Apple iPhone XS Max","Nano SIM","","","","","","","","Sí","iones de Litio","",""
