NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Apple - iPhone XS Max - 256 GB - Gris Espacial (Telcel),TELCEL,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Honor - Honor 8A 2020 - Verde (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,Helio P35,,Verde,Honor
Honor - Honor 9X - Azul (AT&T),AT&T,4G LTE,128 GB,No,16 megapixels,,,,Azul,Honor
Motorola - Moto E6 Plus - Gris (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Gris,Motorola
Samsung - Galaxy A10 - Azul (Desbloqueado),Desbloqueado,4G LTE,32 GB,No,5 megapixels,13 megapixels,,,Azul,Samsung
Motorola - Moto G7 Power - Azul Marino (Telcel),TELCEL,4G LTE,64 GB,No,8 megapixels,12 megapixels,632,,Azul,Motorola
Motorola - Moto E6 Plus - Azul (Desbloqueado),Desbloqueado,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Azul,Motorola
Motorola - Motorola Edge - Gris (Telcel),TELCEL,"3G, 4G, GSM",128 GB,No,25 megapixels,64 megapixels,,,Gris,Motorola
Samsung - Galaxy A51 - Negro (Telcel),TELCEL,4G LTE,128 GB,No,32 megapixels,,Exynos 9611,,Negro,Samsung
Motorola - Moto G9 Play - Azul - ATT,AT&T,4G,64 GB,No,,,Qualcomm Snapdragon 662,,Azul,Motorola
Huawei Mate 20 - Negro (Telcel),TELCEL,4G LTE,128 GB,No,24 megapixels,12 megapixels,Kirin 980,,Negro,Huawei
Samsung -  Galaxy A6 Plus - Negro (AT&T),AT&T,4G,16 GB,No,13 megapixels,5 megapixels,450,,Negro,Samsung
Samsung -  Galaxy A6 Plus - Lavanda (AT&T ),AT&T,4G,16 GB,No,13 megapixels,5 megapixels,450,,Morado,Samsung
Apple - iPhone XS - 256 GB - Gris Espacial (AT&T),AT&T,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Space Gray,Apple
Samsung - Galaxy A30s Lila (AT&T),AT&T,4G LTE,32 GB,No,16 megapixels,5 megapixels,Exynos 7904,,Morado,Samsung
Motorola - Moto E6 Play - Negro (Telcel),TELCEL,4G LTE,16 GB,No,5 megapixels,13 megapixels,,,Negro,Motorola
Motorola - Moto E6 Play - Azul (Telcel),TELCEL,4G LTE,16 GB,No,5 megapixels,13 megapixels,,,Azul,Motorola
Honor - Honor 9X - Negro (AT&T),AT&T,4G LTE,128 GB,No,16 megapixels,,,,Negro,Honor
Samsung - Galaxy A21s - Negro (AT&T),AT&T,4G LTE,64 GB,No,13 megapixels,48 megapixels,"S5E3830 (Exynos 850), Octa-core",,Negro,Samsung
Huawei - Celular P40 Pro - Azul - Telcel,TELCEL,4G,256 GB,Sí,,,HUAWEI Kirin 990 5G,4.9 feet,Azul,Huawei
Samsung - Galaxy A11 - Negro (AT&T),,"2G, 3G, LTE",64 GB,No,8 megapixels,13 megapixels,"SDM450, Octa-core (8 núcleos a 1.8 GHz)",,Negro,Samsung
ZTE - Blade A6 - Negro - AT&T,AT&T,4G,16 GB,No,,,,,Negro,ZTE
Samsung - Galaxy A20 - Azul (Desbloqueado),Desbloqueado,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Azul,Samsung
Huawei - Y8S - Negro (Telcel),TELCEL,4G,64 GB,No,,,"HiSilicon, Kirin 710, Octa core: 4 x 2.2GHz + 4 x 1.7GHz",,Negro,Huawei
Motorola - Moto One Vision - Moka (AT&T),AT&T,4G LTE,128 GB,No,25 megapixels,48 megapixels,Exynos 9609,,Multi,Motorola
Motorola - Moto G8 Play - Gris (Telcel),TELCEL,4G LTE,32 GB,No,13 megapixels,8 megapixels,Helio P70,,Gris,Motorola
Samsung - Galaxy A30s Blanco (Telcel),TELCEL,4G LTE,32 GB,No,16 megapixels,5 megapixels,Exynos 7904,,Blanco,Samsung
Motorola - Moto One Zoom - Morado (AT&T),AT&T,4G LTE,128 GB,No,25 megapixels,48 megapixels,675,,Morado,Motorola
Samsung - Celular Note 20 Mystic 4G - Gris - Telcel,TELCEL,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Gris,Samsung
Motorola - Moto G9 Plus - Azul - Telcel,TELCEL,4G,128 GB,No,,,Qualcomm Snapdragon 730G,,Azul,Motorola
Xiaomi - Redmi Note 8 - 32 GB - Azul (Telcel),TELCEL,4G LTE,32 GB,No,13 megapixels,48 megapixels,Qualcomm Snapdragon 665 Octa-core 2.0 GHz,,Azul,Xiaomi
Samsung - Galaxy A21s - Blanco (AT&T),AT&T,4G LTE,64 GB,No,13 megapixels,48 megapixels,"S5E3830 (Exynos 850), Octa-core",,Blanco,Samsung
Samsung - Galaxy Note 9 - 128 GB - Azul - AT&T,AT&T,4G LTE,128 GB,Sí,8 megapixels,12 megapixels,Exynos 9810,5 feet,Azul,Samsung
Apple - iPhone XS Max 64 GB - Oro (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Oro Rosa,Apple
Apple - iPhone XS Max 64 GB - Plata (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Plata,Apple
Samsung - Galaxy S20 - Rosa (Telcel),TELCEL,4G,128 GB,Sí,10 megapixels,16 megapixels,Exynos 990,5 feet,Rosa,Samsung
Apple - iPhone XS Max - 256 GB - Dorado (AT&T),AT&T,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Apple - iPhone 8 64 GB - Plata (AT&T),AT&T,4G,64 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,0 feet,Plata,Apple
Apple - iPhone XS 64 GB - Oro (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Oro Rosa,Apple
Motorola - Moto G8 Power - Azul (Telcel),TELCEL,"3G, 4G, GSM",64 GB,No,8 megapixels,16 megapixels,Octa Core,,Azul,Motorola
Motorola - Moto G9 Plus - Rosa - Telcel,TELCEL,4G,128 GB,No,,,Qualcomm Snapdragon 730G,,Rosa,Motorola
OPPO - A9 2020 - CPH1941 - Verde (Telcel),TELCEL,3G,128 GB,No,,,Qualcomm Snapdragon SDM665 Octacore 1.8,,Verde,Oppo
Samsung -  Galaxy A6 Plus -  Lavanda (Telcel),TELCEL,4G,32 GB,No,24 megapixels,16 megapixels,450,,Morado,Samsung
Samsung - Celular Note 20 Mystic 4G - Verde - Telcel,TELCEL,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Verde,Samsung
Samsung - Galaxy A31 - Azul  (AT&T),AT&T,"2G, 3G, LTE",128 GB,No,20 megapixels,48 megapixels,"Chipset Mediatek MT6768, Octa-core (2x 2GHz + 6x 1.7GHz)",,Azul,Samsung
Samsung - Galaxy J6 Plus - Negro (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,425,,Negro,Samsung
Samsung - Galaxy A71 - Negro (Telcel),TELCEL,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Negro,Samsung
Huawei - Y7p - Azul Aurora (Telcel) - Best Buy,TELCEL,"3G, 4G, GSM",64 GB,No,8 megapixels,48 megapixels,,,Azul,Huawei
Samsung - Galaxy A71 - Azul (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Azul,Samsung
Samsung - Galaxy A9 - Azul (Telcel),TELCEL,4G LTE,128 GB,No,24 megapixels,24 megapixels,Snapdragon 660,,Azul,Samsung
